text,station,measurand,calculation,representation
"DEBW029",DEBW029,,,
"Aalen",Aalen,,,
"DEBW076",DEBW076,,,
"Baden-Baden",Baden-Baden,,,
"DEBW042",DEBW042,,,
"Bernhausen",Bernhausen,,,
"DEBW046",DEBW046,,,
"Biberach",Biberach,,,
"DEBW004",DEBW004,,,
"Eggenstein",Eggenstein,,,
"DEBW084",DEBW084,,,
"Freiburg",Freiburg,,,
"DEBW122",DEBW122,,,
"Freiburg Schwarzwaldstraße",Freiburg Schwarzwaldstraße,,,
"DEBW038",DEBW038,,,
"Friedrichshafen",Friedrichshafen,,,
"DEBW112",DEBW112,,,
"Gärtringen",Gärtringen,,,
"DEBW009",DEBW009,,,
"Heidelberg",Heidelberg,,,
"DEBW015",DEBW015,,,
"Heilbronn",Heilbronn,,,
"DEBW152",DEBW152,,,
"Heilbronn Weinsberger Straße-Ost",Heilbronn Weinsberger Straße-Ost,,,
"DEBW081",DEBW081,,,
"Karlsruhe-Nordwest",Karlsruhe-Nordwest,,,
"DEBW080",DEBW080,,,
"Karlsruhe Reinhold-Frank-Straße",Karlsruhe Reinhold-Frank-Straße,,,
"DEBW022",DEBW022,,,
"Kehl",Kehl,,,
"DEBW052",DEBW052,,,
"Konstanz",Konstanz,,,
"DEBW120",DEBW120,,,
"Leonberg Grabenstraße",Leonberg Grabenstraße,,,
"DEBW024",DEBW024,,,
"Ludwigsburg",Ludwigsburg,,,
"DEBW241",DEBW241,,,
"Ludwigsburg Schlossstraße",Ludwigsburg Schlossstraße,,,
"DEBW098",DEBW098,,,
"Mannheim Friedrichsring",Mannheim Friedrichsring,,,
"DEBW005",DEBW005,,,
"Mannheim-Nord",Mannheim-Nord,,,
"DEBW073",DEBW073,,,
"Neuenburg",Neuenburg,,,
"DEBW125",DEBW125,,,
"Pfinztal Karlsruher Straße",Pfinztal Karlsruher Straße,,,
"DEBW033",DEBW033,,,
"Pforzheim",Pforzheim,,,
"DEBW027",DEBW027,,,
"Reutlingen",Reutlingen,,,
"DEBW147",DEBW147,,,
"Reutlingen Lederstraße-Ost",Reutlingen Lederstraße-Ost,,,
"DEBW156",DEBW156,,,
"Schramberg Oberndorfer Straße",Schramberg Oberndorfer Straße,,,
"DEBW087",DEBW087,,,
"Schwäbische Alb",Schwäbische Alb,,,
"DEBW031",DEBW031,,,
"Schwarzwald-Süd",Schwarzwald-Süd,,,
"DEBW118",DEBW118,,,
"Stuttgart Am Neckartor",Stuttgart Am Neckartor,,,
"DEBW099",DEBW099,,,
"Stuttgart Arnulf-Klett-Platz",Stuttgart Arnulf-Klett-Platz,,,
"DEBW013",DEBW013,,,
"Stuttgart-Bad Cannstatt",Stuttgart-Bad Cannstatt,,,
"LUBW082",LUBW082,,,
"Stuttgart Hauptstätter Straße",Stuttgart Hauptstätter Straße,,,
"DEBW116",DEBW116,,,
"Stuttgart Hohenheimer Straße",Stuttgart Hohenheimer Straße,,,
"DEBW059",DEBW059,,,
"Tauberbischofsheim",Tauberbischofsheim,,,
"DEBW107",DEBW107,,,
"Tübingen",Tübingen,,,
"DEBW136",DEBW136,,,
"Tübingen Mühlstraße",Tübingen Mühlstraße,,,
"DEBW019",DEBW019,,,
"Ulm",Ulm,,,
"DEBW039",DEBW039,,,
"Villingen-Schwenningen",Villingen-Schwenningen,,,
"DEBW023",DEBW023,,,
"Weil am Rhein",Weil am Rhein,,,
"DEBW010",DEBW010,,,
"Wiesloch",Wiesloch,,,
"luqx",,luqx,,
"Luftqualitätsindex",,Luftqualitätsindex,,
"no2",,no2,,
"Stickstoffdioxid",,Stickstoffdioxid,,
"o3",,o3,,
"Ozon",,Ozon,,
"pm10",,pm10,,
"Feinstaub PM10",,Feinstaub PM10,,
"pm25k",,pm25k,,
"Feinstaub PM25",,Feinstaub PM25,,
"Minimum",,,Minimum,
"Maximum",,,Maximum,
"Durchschnitt",,,Durchschnitt,
"Minima",,,Minima,
"minimal",,,minimal,
"Maxima",,,Maxima,
"maximal",,,maximal,
"durchschnittlich",,,durchschnittlich,
"kritisch",,,kritisch,
"höchste",,,höchste,
"niedrigste",,,niedrigste,
"Text",,,,Text
"Tabelle",,,,Tabelle
"Liste",,,,Liste
"Graph",,,,Graph
"Wie ist der luqx in DEBW029?",DEBW029,luqx,,
"Wie ist der Luftqualitätsindex in DEBW029?",DEBW029,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in DEBW029?",DEBW029,Stickstoffdioxid,,
"Wie ist der o3 in DEBW029?",DEBW029,o3,,
"Wie ist der pm10 in DEBW029?",DEBW029,pm10,,
"Wie ist der pm25k in DEBW029?",DEBW029,pm25k,,
"Wie ist der Ozon in Aalen?",Aalen,Ozon,,
"Wie ist der pm10 in Aalen?",Aalen,pm10,,
"Wie ist der Luftqualitätsindex in DEBW076?",DEBW076,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in DEBW076?",DEBW076,Stickstoffdioxid,,
"Wie ist der pm10 in DEBW076?",DEBW076,pm10,,
"Wie ist der pm25k in DEBW076?",DEBW076,pm25k,,
"Wie ist der luqx in Baden-Baden?",Baden-Baden,luqx,,
"Wie ist der Luftqualitätsindex in Baden-Baden?",Baden-Baden,Luftqualitätsindex,,
"Wie ist der o3 in Baden-Baden?",Baden-Baden,o3,,
"Wie ist der Ozon in Baden-Baden?",Baden-Baden,Ozon,,
"Wie ist der pm25k in Baden-Baden?",Baden-Baden,pm25k,,
"Wie ist der luqx in DEBW042?",DEBW042,luqx,,
"Wie ist der Luftqualitätsindex in DEBW042?",DEBW042,Luftqualitätsindex,,
"Wie ist der Stickstoffdioxid in DEBW042?",DEBW042,Stickstoffdioxid,,
"Wie ist der Ozon in DEBW042?",DEBW042,Ozon,,
"Wie ist der pm25k in DEBW042?",DEBW042,pm25k,,
"Wie ist der no2 in Bernhausen?",Bernhausen,no2,,
"Wie ist der pm10 in DEBW046?",DEBW046,pm10,,
"Wie ist der luqx in Biberach?",Biberach,luqx,,
"Wie ist der Luftqualitätsindex in Biberach?",Biberach,Luftqualitätsindex,,
"Wie ist der no2 in Biberach?",Biberach,no2,,
"Wie ist der pm10 in Biberach?",Biberach,pm10,,
"Wie ist der luqx in DEBW004?",DEBW004,luqx,,
"Wie ist der o3 in DEBW004?",DEBW004,o3,,
